Date,Open,High,Low,Close,Adj Close,Volume,Group
04/01/2010,7.6225,7.660714,7.585,7.643214,6.539882,493729600,1
05/01/2010,7.664286,7.699643,7.616071,7.656428,6.551187,601904800,1
06/01/2010,7.656428,7.686786,7.526786,7.534643,6.446983,552160000,1
07/01/2010,7.5625,7.571429,7.466072,7.520714,6.435065,477131200,1
08/01/2010,7.510714,7.571429,7.466429,7.570714,6.477847,447610800,1
11/01/2010,7.6,7.607143,7.444643,7.503929,6.420702,462229600,1
12/01/2010,7.471071,7.491786,7.372143,7.418571,6.347667,594459600,1
13/01/2010,7.423929,7.533214,7.289286,7.523214,6.437204,605892000,1
14/01/2010,7.503929,7.516428,7.465,7.479643,6.399921,432894000,1
15/01/2010,7.533214,7.557143,7.3525,7.354643,6.292967,594067600,1
19/01/2010,7.440357,7.685357,7.401429,7.68,6.571356,730007600,1
20/01/2010,7.675357,7.698214,7.482143,7.561786,6.470207,612152800,1
21/01/2010,7.574286,7.618214,7.400357,7.431071,6.358362,608154400,1
22/01/2010,7.385,7.410714,7.041429,7.0625,6.042995,881767600,1
25/01/2010,7.2325,7.310714,7.149643,7.2525,6.205567,1065699600,1
26/01/2010,7.355357,7.6325,7.235,7.355,6.293272,1867110000,1
27/01/2010,7.3875,7.520714,7.126071,7.424286,6.352555,1722568400,1
28/01/2010,7.318929,7.339286,7.096428,7.1175,6.090055,1173502400,1
29/01/2010,7.181428,7.221428,6.794643,6.859286,5.869116,1245952400,1
01/02/2010,6.870357,7,6.832143,6.954643,5.950709,749876400,1
02/02/2010,6.996786,7.011428,6.906428,6.995,5.985239,698342400,1
03/02/2010,6.970357,7.15,6.943572,7.115357,6.088223,615328000,1
04/02/2010,7.026072,7.084643,6.841786,6.858929,5.868809,757652000,1
05/02/2010,6.879643,7,6.816072,6.980714,5.973016,850306800,1
08/02/2010,6.988929,7.067143,6.928571,6.932857,5.932068,478270800,1
09/02/2010,7.015,7.053571,6.955357,7.006786,5.995325,632886800,1
10/02/2010,6.996071,7.021429,6.937857,6.968572,5.962626,370361600,1
11/02/2010,6.96,7.133929,6.930714,7.095357,6.07111,550345600,1
12/02/2010,7.075357,7.201428,6.982143,7.156428,6.123366,655468800,1
16/02/2010,7.212143,7.274643,7.197143,7.264286,6.215652,543737600,1
17/02/2010,7.2925,7.296786,7.173572,7.233929,6.189679,436396800,1
18/02/2010,7.201071,7.281785,7.175714,7.2475,6.201289,422825200,1
19/02/2010,7.209286,7.257143,7.1825,7.2025,6.162786,415469600,1
22/02/2010,7.226429,7.232143,7.113929,7.157857,6.124587,390563600,1
23/02/2010,7.142857,7.190357,6.989643,7.037857,6.021911,575094800,1
24/02/2010,7.079643,7.194286,7.065714,7.166429,6.131923,460566400,1
25/02/2010,7.049286,7.245,7.031785,7.214286,6.17287,665126000,1
26/02/2010,7.227857,7.3275,7.214286,7.307857,6.252933,507460800,1
01/03/2010,7.348214,7.482143,7.3375,7.463929,6.386477,550093600,1
02/03/2010,7.4975,7.529643,7.419286,7.458929,6.382198,566546400,1
03/03/2010,7.462143,7.495357,7.426429,7.476071,6.396865,372052800,1
04/03/2010,7.474286,7.532857,7.451071,7.525357,6.439037,366041200,1
05/03/2010,7.676429,7.846428,7.665357,7.819643,6.690841,899620400,1
08/03/2010,7.8575,7.860357,7.794643,7.824286,6.694813,429889600,1
09/03/2010,7.796786,8.035714,7.781785,7.965,6.815216,920259200,1
10/03/2010,7.993928,8.052857,7.971428,8.03,6.870832,596218000,1
11/03/2010,7.996786,8.053572,7.975714,8.053572,6.891003,405700400,1
12/03/2010,8.120358,8.133214,8.0625,8.092857,6.924616,416323600,1
15/03/2010,8.049286,8.053572,7.866071,7.994286,6.840273,493502800,1
16/03/2010,8.006429,8.035,7.946786,8.016071,6.858914,446908000,1
17/03/2010,8.032143,8.0875,7.973928,8.004286,6.848831,450956800,1
18/03/2010,8.003572,8.035714,7.950357,8.023214,6.865027,342109600,1
19/03/2010,8.028214,8.044286,7.901072,7.9375,6.791684,559445600,1
22/03/2010,7.873929,8.071428,7.8625,8.026786,6.868082,456419600,1
23/03/2010,8.058572,8.170714,8.003572,8.155714,6.978398,602431200,1
24/03/2010,8.13,8.221429,8.125357,8.191786,7.009264,597780400,1
25/03/2010,8.247143,8.248929,8.080358,8.094643,6.926144,542284400,1
26/03/2010,8.176785,8.283929,8.1625,8.246428,7.056019,640875200,1
29/03/2010,8.321428,8.3525,8.272142,8.299643,7.101552,540744400,1
30/03/2010,8.45,8.481428,8.366072,8.423214,7.207284,527310000,1
31/03/2010,8.410357,8.450357,8.373571,8.392858,7.181309,430659600,1
01/04/2010,8.478929,8.526072,8.3125,8.4275,7.210952,603145200,1
05/04/2010,8.392143,8.518214,8.384643,8.5175,7.287958,684507600,1
06/04/2010,8.507143,8.58,8.464286,8.555,7.320046,447017200,1
07/04/2010,8.555357,8.64,8.523571,8.592857,7.35244,628502000,1
08/04/2010,8.587143,8.626429,8.501429,8.569643,7.332576,572989200,1
09/04/2010,8.6225,8.638928,8.587857,8.635357,7.388804,334182800,1
12/04/2010,8.65,8.681071,8.636071,8.653214,7.404083,333026400,1
13/04/2010,8.637857,8.671429,8.611072,8.658215,7.408362,306210800,1
14/04/2010,8.76,8.778929,8.716785,8.774643,7.507982,404076400,1
15/04/2010,8.777857,8.893929,8.768214,8.89,7.606689,376784800,1
16/04/2010,8.8775,8.969286,8.733929,8.835714,7.560237,750545600,1
19/04/2010,8.8225,8.853214,8.634643,8.823929,7.550154,566924400,1
20/04/2010,8.876429,8.901786,8.677143,8.735357,7.474366,738326400,1
21/04/2010,9.242857,9.294642,9.133214,9.257857,7.921442,982391200,1
22/04/2010,9.222857,9.526786,9.15,9.516786,8.142996,793424800,1
23/04/2010,9.571072,9.720715,9.535714,9.6725,8.276231,796955600,1
26/04/2010,9.71,9.730714,9.578215,9.625,8.235586,479068800,1
27/04/2010,9.545357,9.565714,9.304286,9.358571,8.007619,709343600,1
28/04/2010,9.401786,9.428572,9.1575,9.342857,7.994169,758402400,1
29/04/2010,9.393572,9.642858,9.3575,9.594286,8.209305,558840800,1
30/04/2010,9.618215,9.663215,9.321428,9.324643,7.978589,542463600,1
03/05/2010,9.422857,9.567142,9.388572,9.5125,8.139327,454342000,1
04/05/2010,9.388928,9.403214,9.169642,9.238571,7.904941,723819600,1
05/05/2010,9.036786,9.219286,8.883214,9.1425,7.822736,883103200,1
06/05/2010,9.065357,9.223214,7.116071,8.794642,7.525095,1285860800,1
07/05/2010,8.703929,8.806071,8.043214,8.423572,7.20759,1676018400,1
10/05/2010,8.9375,9.094643,8.876071,9.071072,7.76162,984306400,1
11/05/2010,8.994286,9.281786,8.946428,9.161428,7.838932,848906800,1
12/05/2010,9.258572,9.3975,9.239285,9.360357,8.009146,654379600,1
13/05/2010,9.400714,9.464286,9.157143,9.227143,7.895162,599712400,1
14/05/2010,9.112857,9.16,8.910714,9.065,7.756426,759362800,1
17/05/2010,9.096429,9.149285,8.846786,9.079286,7.76865,762834800,1
18/05/2010,9.177857,9.233929,8.937857,9.012857,7.71181,782678400,1
19/05/2010,8.910714,9.032857,8.744643,8.869286,7.588965,1025726800,1
20/05/2010,8.638572,8.708928,8.436071,8.491428,7.265652,1282915200,1
21/05/2010,8.315,8.732142,8.2625,8.654285,7.405,1223891200,1
24/05/2010,8.831429,8.960714,8.795,8.812857,7.540679,754238800,1
25/05/2010,8.548214,8.812857,8.47,8.757857,7.493619,1048006400,1
26/05/2010,8.931429,9.004642,8.705358,8.718214,7.459697,850654000,1
27/05/2010,8.95,9.0675,8.896786,9.048214,7.742065,666282400,1
28/05/2010,9.263928,9.264286,9.048214,9.174286,7.849935,815614800,1
01/06/2010,9.274643,9.497857,9.248571,9.315357,7.970643,876472800,1
02/06/2010,9.447857,9.457143,9.2975,9.426785,8.065983,688548000,1
03/06/2010,9.470715,9.483929,9.300357,9.397142,8.040623,650106800,1
04/06/2010,9.221786,9.353572,9.093928,9.141429,7.821823,758304400,1
07/06/2010,9.224643,9.255357,8.948215,8.962143,7.668418,886942000,1
08/06/2010,9.044286,9.064285,8.773214,8.904643,7.619213,1000770400,1
09/06/2010,8.981071,8.996428,8.660357,8.685715,7.431891,854630000,1
10/06/2010,8.744286,8.963572,8.65,8.946786,7.655275,776356000,1
11/06/2010,8.865357,9.066428,8.834642,9.053928,7.746955,545759200,1
14/06/2010,9.141429,9.255357,9.071786,9.081429,7.770482,602960400,1
